bird ID,Fruits_pcbiomass,Infructescence_pcbiomass,Catkins_pcbiomass,Leaves_pcbiomass,Dry oct leaf_pcbiomass,BC-index,Standardized BC-index
LM-14-109,0.169133192,0,0,7.205073996,0,-5.899017334,0.132615218
LM-14-110,8.27184466,0.13592233,5.504854369,19.01941748,0,-3.464477539,0.242989423
LM-14-112,64.35285611,0,0,32.39334779,28.99493854,-28.1741333,-0.877266904
LM-14-113,0,0,0,100,100,21.93652344,1.394589118
LM-14-114,95.29363618,0,0,2.851101562,0,13.01623535,0.990171944
LM-14-116,33.42064531,3.702821764,9.935706632,1.607334206,1.607334206,9.717437744,0.840615069
LM-14-120,16.98301698,0,0,83.01698302,83.01698302,25.44384766,1.553599919
LM-14-122,92.38231098,0,0,1.126961484,0,13.62258911,1.017662073
LM-14-124,0,21.62740899,51.49892934,22.37687366,22.37687366,-57.85812378,-2.22304357
LM-14-125,0,0.616016427,0,5.869267625,0,-6.957550049,0.084624749
LM-14-127,0,0,0,100,99.8225602,28.63519287,1.698285248
LM-14-130,50.73811525,0,7.565681295,9.956334271,9.271202543,7.703796387,0.749323046
LM-14-131,14.25663932,1.139441718,5.518113376,9.471413268,7.954468549,-1.174102783,0.346827649
LM-14-138,12.80033387,75.30256961,9.667322483,0.709473559,0.470995052,-35.57061768,-1.212599719
LM-14-139,68.6108498,0.517403575,0,8.71746629,8.71746629,6.198455811,0.681075745
LM-14-140,0.152292152,0.233100233,0,15.1017871,5.168609169,-27.51535034,-0.847399803
LM-14-142,59.62625779,13.25826545,3.497843795,17.64254911,17.20172496,-7.876983643,0.042940587
LM-14-148,75.24033745,23.8375515,0,0.922111046,0.392387679,-13.60601807,-0.21679541
LM-14-149,78.36021505,0,0,10.34946237,10.34946237,19.62088013,1.289605298
LM-14-150,82.96930342,0,0,13.3633412,12.89846517,-22.07876587,-0.600922547
LM-14-151,51.69485859,0,28.9128836,18.74038912,18.74038912,15.09683228,1.084499517
LM-14-152,73.94022862,3.644126153,3.539457375,16.71395125,16.71395125,-8.599456787,0.010185978
LM-14-154,48.55763834,0,0,3.019418565,0,2.869232178,0.530139452
LM-14-160,35.18020441,0,0.466200466,0.286892595,0,-26.17077637,-0.786441143
LM-14-161,100,0,0,0,0,-47.96130371,-1.774353575
LM-14-162,0,0,0,89.11161731,88.6332574,-11.7086792,-0.130776167
LM-14-163,57.0750871,0,0,42.9249129,42.9249129,18.35174561,1.23206682
LM-14-164,0,19.43957968,56.21716287,14.71103327,14.71103327,1.943847656,0.488185494
LM-14-180,25.78066637,58.27730465,1.206484387,14.59734051,14.56372329,17.52160645,1.19443098
LM-14-181,5.982639662,0,82.77320276,11.24415758,11.24415758,-0.931182861,0.357840857
LM-14-183,87.20650767,0,0,0.388241819,0,-26.25076294,-0.790067477
LM-14-184,99.28327645,0,0,0.366894198,0,-51.59649658,-1.93916153
LM-14-185,41.53233002,0.196300042,21.08738326,13.93730296,13.59823925,-22.21182251,-0.606954907
LM-14-186,0,0,0.655837718,11.62968047,10.18073667,-13.97509766,-0.233528291
LM-14-188,0,0,0.067130185,16.35578998,9.489331096,1.722595215,0.47815462
LM-14-196,0,0,0,59.16167665,58.64271457,-11.74328613,-0.132345134
LM-14-197,0,0,0,7.239819005,0,-1.744384766,0.320972897
LM-14-202,16.22501162,0,0,30.032543,0,-40.54379272,-1.438067482
LM-14-204,0,0,0,16.22936684,0,-33.23995972,-1.106935182
LM-14-207,0,0,0,3.588570911,0,-25.80627441,-0.769915797
LM-14-208,99.40878378,0.168918919,0,0,0,39.15637207,2.175281677
LM-14-209,94.14857426,0,0,4.626708728,0.383497247,40.21472168,2.223263845
LM-14-211,25.93873518,0.148221344,0,9.090909091,3.754940711,0.686828613,0.431196293
LM-14-212,97.30694685,1.458737121,0,0,0,-34.72680664,-1.17434404
