BirdID,Wing_mm,Head_mm,SternL_mm,BodySize,GizzardEmptyFFDM,TotalFat,LDBM,Oxalat,OxalatIntens
LM-12-089,200,52.24,82.24,-0.599681439,4.33,7.79500062,121.2362644,1,1
LM-12-090,203,53.59,89.87,1.755111385,3.94,9.05646995,132.1839196,1,2
LM-12-092,186,51.29,82.29,-2.190787974,3.58,8.50198304,117.1648876,0,
LM-12-105,190,52.3,83.69,-1.173986505,4.19,10.26231139,114.5573624,1,2
LM-12-109,187,51.37,84.63,-1.581632054,3.78,8.12273343,124.1930712,1,1
LM-12-131,192,50.9,79.49,-2.378073908,3.62,5.4584866,89.1886384,0,
LM-12-132,196,55.29,87.89,1.322159158,4.39,9.05735066,131.46694,0,
LM-12-141,201,55.33,84.74,1.126304725,4.52,9.28281275,123.7241816,1,1
LM-12-142,195,53.63,87.61,0.576068986,3.96,9.63208331,129.0473256,1,1
LM-12-144,190,52.13,81.83,-1.624964157,3.9,8.52152401,115.5115476,0,
LM-12-146,198,55.26,87.02,1.308993107,4.44,7.75075094,121.5247368,1,2
LM-12-162,201,54.01,87.44,1.217067399,4.18,8.74449035,133.0076124,0,
LM-12-163,192,54.36,87.17,0.476655264,3.95,9.43969819,127.0058992,1,2
LM-12-167,201,54.48,85.62,1.004808538,4.24,7.71497242,122.2862784,1,1
LM-12-172,202,55.22,85.25,1.283571999,3.86,9.32397944,133.8067756,0,
LM-12-173,203,54.4,85.97,1.229319221,3.99,10.59013217,126.6736536,1,1
LM-12-176,196,54.75,86.79,0.897289363,4.22,6.61756768,128.7156716,0,
LM-12-192,206,55.32,89.88,2.649765725,4.65,7.76998351,136.4166672,0,
LM-12-193,188,53.08,83.4,-1.133993045,4.07,14.03542914,120.672532,0,
LM-12-195,200,53.3,86.09,0.588645701,4.12,9.5356851,123.826162,0,
LM-12-196,192,52.9,82.45,-1.037955236,3.8,11.41093946,118.76357,1,1
LM-12-197,187,53.35,85.42,-0.703471778,4.47,9.53251414,127.9687996,1,1
LM-12-198,201,55.78,89.21,2.225024299,4.38,11.98774193,131.6374204,1,2
