"","Wing_mm","Head_mm","SternL_mm","BodySize","GizzardEmptyFFDM","TotalFat","LDBM","Oxalat","OxalatIntens","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun"
"210",187,52.81,84.46,-1.099002194,3.39,8.0810824,114.7383328,1,2,"2","LM-10-304","early",2010,10,6,"F","J",477.35,171,86,37,7.75,21.64,18.01613072,2
"211",204,54.73,85.21,1.27879248,3.94,2.87536911,122.5826772,1,1,"2","LM-10-307","early",2010,10,6,"M","A",539.37,183,90,40,7.42,21.86,16.68613382,2
"212",202,55.65,87.78,1.968533588,2.92,5.65903448,131.0309392,1,1,"2","LM-10-265","early",2010,10,5,"M","A",528.25,165,80,37,7,22.42,15.14434453,2
"213",203,54.41,85.65,1.165856782,4.08,4.44661576,117.0045028,1,2,"1","LM-10-326","early",2010,10,6,"M","J",509.21,188,86,45,8.84,23.94,16.88890635,2
"214",200,52.74,83.47,-0.16196394,3.65,5.1563877,121.9569908,1,3,"1","LM-10-295","early",2010,10,6,"F","A",503.5,192,94,43,8.54,22.4,18.6693148,2
"215",188,51.79,84.61,-1.344688198,3.63,8.47806707,107.5523664,1,2,"1","LM-10-288","early",2010,10,6,"F","J",458.91,194,97,43,9.37,22.16,21.13704212,2
"216",196,55.7,85.6,0.989809796,3.82,3.95014989,112.2110192,0,NA,"2","LM-10-327","early",2010,10,6,"M","J",484.47,205,100,47,9.7,22.93,20.64111297,2
"217",182,51.32,81.92,-2.617439251,3.52,4.58147911,101.0108972,0,NA,"1","LM-10-012","early",2010,10,1,"F","J",427.98,175,89,37,8.65,21.14,20.79536427,2
"218",183,50.35,80.11,-3.255881569,3.14,1.35825284,84.4630632,0,NA,"1","LM-10-034","early",2010,10,2,"F","J",382.07,189,95,41,10.73,21.69,24.86455362,2
"219",201,53.35,85.95,0.667278452,4,5.11491261,116.5720516,1,1,"1","LM-10-038","early",2010,10,2,"M","J",498.06,170,85,37,7.43,21.76,17.06621692,2
"220",205,55.39,88.45,2.285300802,3.91,4.03546336,120.852122,NA,NA,"1","LM-10-069","early",2010,10,3,"M","A",520.13,NA,NA,NA,NA,NA,NA,2
"221",191,50.2,83.09,-1.965539948,3.68,6.71395096,116.2698956,0,NA,"1","LM-10-137","early",2010,10,4,"F","J",503.2,177,88,39,7.75,22.03,17.48807631,2
"222",202,53.57,86.31,0.911877734,3.54,8.91485338,125.5107748,0,NA,"1","LM-10-141","early",2010,10,4,"M","A",507,175,86,39,7.69,22.29,16.96252465,2
"223",190,50.3,84.27,-1.772237992,3.16,4.21757141,113.4602228,NA,NA,"1","LM-10-061","early",2010,10,2,"F","A",469.42,177,88,39,8.31,22.03,18.74653828,2
"224",204,53.46,88.65,1.542629744,4.18,5.1418236,125.3957408,0,NA,"1","LM-10-124","early",2010,10,2,"M","A",496,158,80,34,6.85,21.52,16.12903226,2
"225",194,53.71,87.12,0.412196047,3.73,5.39049689,121.3819796,0,NA,"1","LM-10-204","early",2010,10,3,"M","J",517.95,163,92,30,5.79,18.4,17.76233227,2
"226",188,54.21,85.51,-0.285119476,3.73,7.88882974,120.63909,0,NA,NA,"LM-10-258","early",2010,10,5,"F","A",424.26,NA,NA,NA,NA,NA,NA,2
"227",186,51.05,80.73,-2.604088538,3.27,5.27351599,108.0808436,0,NA,"2","LM-10-215","early",2010,10,4,"F","J",435,173,86,38,8.74,21.97,19.77011494,2
"228",184,50.3,83.99,-2.370779489,3.71,9.91715192,107.3171328,0,NA,NA,"LM-10-071","early",2010,10,2,"F","J",461,183,93,39,8.46,21.31,20.17353579,2
"229",200,55.93,88.25,1.987847881,4.4,8.96779465,135.3201192,0,NA,"2","LM-10-225","early",2010,10,5,"M","A",540,179,91,37,6.85,20.67,16.85185185,2
"230",194,53.46,84.59,-0.20798351,3.75,2.70971904,111.1633716,0,NA,NA,"LM-10-054","early",2010,10,5,"F","J",486.14,182,94,38,7.82,20.88,19.33599375,2
"231",201,53.23,87.62,0.974067324,3.67,9.02947099,115.9354808,0,NA,NA,"LM-10-075","early",2010,10,2,"M","J",512.04,183,89,40,7.81,21.86,17.38145457,2
"232",190,51.03,83.8,-1.608007356,3.92,4.79010178,106.3801808,0,NA,"2","LM-10-031","early",2010,10,2,"F","J",451.13,210,107,46,10.2,21.9,23.7182187,2
"233",188,51.13,81.47,-2.240262697,3.44,4.2728909,98.922148,1,1,"2","LM-10-074","early",2010,10,2,"F","J",401.04,178,86,40,9.97,22.47,21.44424496,2
"234",196,51.85,85.05,-0.511067724,3.26,7.54463895,119.4328324,0,NA,"2","LM-10-289","early",2010,10,6,"F","J",469.85,165,84,35,7.45,21.21,17.87804618,2
"235",205,54.42,85.77,1.37455807,3.16,5.22365771,131.0770788,0,NA,"1","LM-10-293","early",2010,10,6,"M","A",530.69,165,83,35,6.6,21.21,15.64001583,2
"236",205,52.97,86.51,1.007782398,2.95,4.44551462,123.4697428,0,NA,"1","LM-10-222","early",2010,10,4,"M","A",481.04,154,80,32,6.65,20.78,16.63063363,2
"237",198,53.78,87.86,0.952377131,3.64,8.60945106,125.3814656,0,NA,"1","LM-10-223","early",2010,10,4,"M","J",504.21,177,82,42,8.33,23.73,16.26306499,2
"238",189,50.7,84,-1.774838135,3.88,4.53938722,115.455904,0,NA,"1","LM-10-191","early",2010,10,3,"F","J",489.23,NA,NA,NA,NA,NA,NA,2
"239",187,51.62,83.33,-1.764094112,2.96,5.44312976,104.5098264,0,NA,"2","LM-10-067","early",2010,10,3,"F","J",429.26,164,81,36,8.39,21.95,18.86968271,2
"240",202,55.58,88.92,2.182246957,4.03,9.41396138,127.9624508,0,NA,"1","LM-10-068","early",2010,10,3,"M","J",547.12,187,95,40,7.31,21.39,17.36364966,2
"241",199,53,86.8,0.539491097,3.86,5.36818133,115.407398,0,NA,"1","LM-10-100","early",2010,10,4,"M","J",496.71,181,92,39,7.85,21.55,18.52187393,2
"242",204,53.2,85.05,0.694614494,4.07,5.65166446,126.9665028,0,NA,"1","LM-10-136","early",2010,10,2,"M","A",503.08,178,87,39,7.75,21.91,17.29347221,2
"243",205,54.3,89.22,2.054376203,3.85,5.51371812,129.4977988,0,NA,"1","LM-10-131","early",2010,10,2,"M","A",537.44,NA,NA,NA,NA,NA,NA,2
"244",197,52.45,87.11,0.226557526,3.37,3.93439668,116.7781816,0,NA,"1","LM-10-122","early",2010,10,2,"M","J",486.63,172,88,36,7.4,20.93,18.08355424,2
"245",182,51.72,83.98,-2.041771158,3.62,6.19238001,103.1309192,0,NA,NA,"LM-10-065","early",2010,10,3,"F","J",412,166,81,37,8.98,22.29,19.66019417,2
"246",192,50.97,82.77,-1.665501132,3.94,2.64672113,107.3747484,1,2,NA,"LM-10-199","early",2010,10,3,"F","J",439.95,173,82,40,9.09,23.12,18.63848165,2
"247",206,53.21,88.67,1.636800286,4.06,4.63957319,128.2895692,0,NA,"3","LM-10-270","early",2010,10,5,"M","J",500.55,178,88,39,7.79,21.91,17.58066127,2
"248",203,54.7,89.02,1.976468627,3.64,4.50241959,122.86267,0,NA,NA,"LM-10-271","early",2010,10,5,"M","A",497.33,150,78,31,6.23,20.67,15.68375123,2
"250",192,51.48,82.56,-1.525961113,3.27,7.30443682,113.6289284,0,NA,NA,"LM-10-257","early",2010,10,5,"F","J",463.08,193,89,46,9.93,23.83,19.2191414,2
"251",197,55.7,87.54,1.486346902,3.29,3.4882585,121.039244,0,NA,NA,"LM-10-259","early",2010,10,5,"M","J",490.58,185,93,40,8.15,21.62,18.95715276,2
"253",200,55.8,87.45,1.773407258,3.96,5.37933911,120.794112,1,2,NA,"LM-10-024","early",2010,10,1,"M","J",519.27,194,94,44,8.47,22.68,18.10233597,2
"254",201,54.74,88.08,1.613917407,4.1,14.0351702,123.2368216,0,NA,"1","LM-07-020","early",2007,10,2,"M","J",502,184,NA,42.5,8.47,23.1,NA,2
"255",186,51.04,83.19,-2.092152716,3,5.2121929,97.9957216,1,3,"1","LM-07-094","early",2007,10,3,"F","J",414.78,169,NA,37,8.92,21.89,NA,2
"256",198,54.35,83.84,0.315060885,3.53,7.33451877,115.6818308,0,NA,NA,"LM-10-200","early",2010,10,3,"M","A",482.94,170,86,36,7.45,21.18,17.80759515,2
"258",199,54.57,87.4,1.230274571,4.32,5.7800385,123.1085908,0,NA,NA,"LM-10-093","early",2010,10,3,"M","J",540.42,184,88,42,7.77,22.83,16.28363125,2
"259",190,52.07,84.4,-1.107970974,3.35,10.2796066,112.089242,0,NA,"1","LM-10-211","early",2010,10,4,"F","J",440,172,85,39,8.86,22.67,19.31818182,2
"261",182,50.51,82.34,-2.820940251,3.62,5.13264767,103.203796,0,NA,"2","LM-10-094","early",2010,10,3,"F","J",440.13,163,83,34,7.72,20.86,18.85806466,2
"262",195,53.95,87.04,0.571783851,3.81,6.61477816,121.9290704,0,NA,"2","LM-10-099","early",2010,10,3,"F","A",508.52,169,83,37,7.28,21.89,16.32187525,2
"263",201,51.34,85.07,-0.240539858,3.63,5.17473956,112.420896,0,NA,"2","LM-10-091","early",2010,10,3,"M","J",475.94,174,86,39,8.19,22.41,18.06950456,2
"264",206,54.7,89.5,2.346992156,3.78,5.65404268,123.3944996,0,NA,"3","LM-10-272","early",2010,10,6,"M","A",514.37,189,90,43,8.36,22.75,17.49713241,2
"265",209,54.63,88.44,2.369589491,3.85,8.48068065,130.9709572,0,NA,"3","LM-10-051","early",2010,10,3,"M","A",540.02,174,84,38,7.04,21.84,15.55497945,2
"266",205,53.51,89.45,1.818255476,3.9,3.96249678,127.173816,1,1,NA,"LM-10-139","early",2010,10,4,"M","A",525.95,164,85,34,6.46,20.73,16.16123206,2
"267",189,51.76,82.03,-1.806190944,3.25,4.48397976,111.2875152,1,1,"1","LM-10-053","early",2010,10,5,"F","J",450.89,177,93,36,7.98,20.34,20.62587327,2
"268",191,51.73,81.44,-1.760678234,3.52,8.61530864,122.2017284,0,NA,"1","LM-10-143","early",2010,10,4,"F","A",498,183,91,40,8.03,21.86,18.27309237,2
"269",200,54.71,81.81,0.19915818,2.9,13.0429339,110.04414,0,NA,"1","LM-07-070","early",2007,10,4,"M","A",488.22,162,NA,37,7.58,22.84,NA,2
"270",207,52.95,90.14,1.941266856,3.71,9.3771728,133.4678808,0,NA,"1","LM-07-016","early",2007,10,2,"M","A",522.8,166.5,NA,37.5,7.17,22.52,NA,2
"272",194,51.75,82.81,-1.19644207,3.63,2.22551209,109.5203244,1,2,"1","LM-10-018","early",2010,10,1,"F","J",470.15,184,86,43,9.15,23.37,18.29203446,2
"273",195,54.07,86.57,0.516475381,3.69,4.86434544,104.9638492,0,NA,"1","LM-10-079","early",2010,10,3,"M","J",465.63,188,86,45,9.66,23.94,18.46960033,2
"274",202,55.26,90.88,2.477830224,3.59,4.63158637,120.635502,0,NA,"1","LM-10-241","early",2010,10,4,"M","J",501,162,82,35,6.99,21.6,16.36726547,2
"275",188,50.45,80.27,-2.736475217,2.99,1.14804469,89.1221104,0,NA,"1","LM-10-001","early",2010,10,1,"M","J",397.57,176,86,40,10.06,22.73,21.63141082,2
"276",199,54.31,84.33,0.493329831,3.86,4.84012107,116.3505016,1,2,"2","LM-10-140","early",2010,10,4,"M","A",476.88,166,85,35,7.34,21.08,17.82419057,2
"277",191,51.4,82.32,-1.69502633,3.46,6.57463957,103.1580508,1,1,"1","LM-10-059","early",2010,10,6,"F","J",434.89,181,86,42,9.66,23.2,19.77511555,2
"278",198,53.64,86.77,0.673563075,3.09,4.10922268,132.7034844,0,NA,"1","LM-10-119","early",2010,10,2,"M","A",522.24,156,80,32,6.13,20.51,15.31862745,2
"279",203,56.39,88.19,2.41075931,3.76,5.67028023,132.1716548,0,NA,"1","LM-10-055","early",2010,10,5,"M","J",543.76,191,92,43,7.91,22.51,16.91922907,2
"280",191,50.24,83.47,-1.87150848,3.27,3.21117671,111.53245,1,3,"1","LM-10-027","early",2010,10,1,"F","J",458.51,187,92,42,9.16,22.46,20.06499313,2
"281",202,53.32,86.49,0.859624751,3.93,9.5359997,125.861896,0,NA,"1","LM-07-096","early",2007,10,3,"M","J",502.64,184,NA,43,8.55,23.37,NA,2
"282",189,50.91,85.2,-1.447778697,3.54,8.5416963,120.477128,0,NA,"1","LM-07-051","early",2007,10,2,"F","J",479,173,NA,38,7.93,21.97,NA,2
"283",209,54.88,90.46,2.882889877,3.94,5.0368292,128.8235184,0,NA,"1","LM-07-115","early",2007,10,3,"M","A",532,181,NA,41,7.71,22.65,NA,2
"284",187,51.86,82.96,-1.755257861,3.58,12.3890224,110.1787592,0,NA,"1","LM-07-027","early",2007,10,1,"F","J",472.4,180,NA,43,9.1,23.89,NA,2
"286",207,56.35,92.15,3.58615712,3.43,8.61429547,149.6479228,0,NA,"2","LM-10-045","early",2010,10,2,"M","A",583.56,190,93,42,7.2,22.11,15.93666461,2
"289",208,54.48,86.24,1.764579939,3.69,7.2049339,121.8906296,0,NA,"1","LM-07-060","early",2007,10,3,"M","A",516.38,170,NA,39,7.55,22.94,NA,2
"291",202,54.18,89.37,1.772691864,4.08,10.709801,135.7564072,0,NA,NA,"LM-07-119","early",2007,10,3,"M","A",560,171.5,NA,35.5,6.34,20.7,NA,2
"292",188,51.93,82.69,-1.696670816,3.54,11.7144399,115.4962176,0,NA,"1","LM-07-004","early",2007,10,1,"F","J",462.91,174,NA,40.5,8.75,23.28,NA,2
"293",195,54.11,85.84,0.377887477,3.28,10.3694091,118.9963168,0,NA,"2","LM-07-019","early",2007,10,2,"M","J",468.24,172,NA,40,8.54,23.26,NA,2
"294",191,50.9,84.27,-1.466320765,3.77,9.5401339,114.419264,0,NA,"2","LM-07-066","early",2007,10,3,"F","J",486.33,170.5,NA,39.5,8.12,23.17,NA,2
"295",191,51.52,79.5,-2.242817253,3.38,9.2100775,107.8229232,0,NA,"2","LM-07-006","early",2007,10,1,"F","J",445.09,160,NA,35,7.86,21.88,NA,2
"297",196,53.92,85.35,0.296795736,3.72,10.045554,116.5731712,0,NA,"1","LM-07-054","early",2007,10,3,"M","J",511.8,185,NA,42,8.21,22.7,NA,2
"298",200,51.62,84.91,-0.263275653,3.63,10.3632078,124.3810848,0,NA,"1","LM-07-029","early",2007,10,2,"M","J",522.93,182,NA,42,8.03,23.08,NA,2
"299",197,51.68,83.24,-0.861589903,3.57,10.8624266,122.3617968,1,2,"2","LM-07-050","early",2007,10,3,"F","A",486,170,NA,39,8.02,22.94,NA,2
"300",195,53.91,86.55,0.454700013,3.92,12.3745527,116.7751,0,NA,"1","LM-07-089","early",2007,10,3,"M","A",495,172,NA,39,7.88,22.67,NA,2
"303",192,52.38,84.95,-0.701185823,3.75,10.7222036,119.2655552,0,NA,"1","LM-07-028","early",2007,10,1,"F","J",502.84,186,NA,41,8.15,22.04,NA,2
"304",192,51.41,84.45,-1.155072493,3.82,9.2142117,110.9864744,0,NA,"1","LM-07-025","early",2007,10,1,"F","A",477.47,172,NA,38,7.96,22.09,NA,2
"305",203,52.75,91.84,1.865642232,3.44,12.0444963,126.4676824,0,NA,"1","LM-07-044","early",2007,10,1,"M","J",536.25,187,NA,42,7.83,22.46,NA,2
"306",191,50.46,87.01,-1.050463257,3.76,8.8634843,122.3617968,0,NA,"1","LM-07-111","early",2007,10,3,"F","J",488.99,179,NA,43.5,8.9,24.3,NA,2
"307",180,51.01,84.19,-2.433245457,3.41,9.3689044,110.1114496,0,NA,"2","LM-07-047","early",2007,10,2,"F","J",447,171,NA,40,8.95,23.39,NA,2
"310",185,50.98,83.35,-2.170193129,3.85,11.5638814,106.4094216,0,NA,"1","LM-07-008","early",2007,10,2,"F","J",465.52,180.5,NA,42,9.02,23.27,NA,2
"311",192,51.36,84.21,-1.223363582,4.14,12.5561177,109.7749016,0,NA,"2","LM-07-087","early",2007,10,3,"F","J",468,176,NA,42,8.97,23.86,NA,2
"312",198,53.36,84.98,0.197666094,3.91,13.7154493,115.0250504,0,NA,"2","LM-07-018","early",2007,10,1,"M","J",495.72,180,NA,41.5,8.37,23.06,NA,2
"313",199,54.18,85.68,0.729458261,3.81,10.5323702,117.8520536,0,NA,"2","LM-07-118","early",2007,10,3,"M","J",499.6,186,NA,44.5,8.91,23.92,NA,2
"314",192,51.58,85.49,-0.875939782,3.46,16.729366,112.8711432,0,NA,"1","LM-07-010","early",2007,10,2,"F","J",455.83,186,NA,46.5,10.2,25,NA,2
"315",201,53.38,89.08,1.334020172,4.21,11.3719809,135.2179304,0,NA,"1","LM-07-092","early",2007,10,3,"M","J",549.18,164,NA,35.5,6.46,21.65,NA,2
"319",201,54.28,88.24,1.481894047,2.78,15.5514305,122.3617968,0,NA,"1","LM-07-013","early",2007,10,1,"M","A",515.44,167,NA,37,7.18,22.16,NA,2
"320",189,52.27,82.87,-1.446605574,3.57,11.0377903,111.1884032,0,NA,"3","LM-07-142","early",2007,10,4,"F","J",490.54,184,NA,43.5,8.87,23.64,NA,2
"322",200,53.24,84.64,0.263179539,3.63,11.6999702,120.4098184,0,NA,"1","LM-07-091","early",2007,10,3,"M","J",510,166,NA,39.5,7.75,23.8,NA,2
"325",196,54.91,85.51,0.686627629,3.04,8.3704668,104.0535856,0,NA,"1","LM-07-032","early",2007,10,1,"M","J",457,177,NA,41.5,9.08,23.45,NA,2
"326",195,52.94,86.41,0.076257465,3.23,8.5334279,122.2271776,0,NA,"1","LM-07-012","early",2007,10,2,"F","A",453,159,NA,36,7.95,22.64,NA,2
"327",190,50.7,81.58,-2.192013156,3.39,17.3832775,111.5922608,0,NA,"1","LM-07-041","early",2007,10,1,"F","A",472.48,178,NA,40,8.47,22.47,NA,2
"328",199,54.08,90.69,1.74339892,3.44,13.366789,133.7371192,0,NA,NA,"LM-07-036","early",2007,10,1,"M","A",553,180,NA,41,7.41,22.78,NA,2
"329",188,51.79,81.66,-1.962910852,3,8.2095728,105.0632296,0,NA,"1","LM-07-042","early",2007,10,1,"F","A",462.37,164,NA,36,7.79,21.95,NA,2
"331",188,50,84.38,-2.03710992,2.75,11.5576801,94.89948,0,NA,"1","LM-07-001","early",2007,10,1,"F","J",399,179,NA,42,10.53,23.46,NA,2
"332",189,52.35,85.43,-0.881322037,4.25,5.8723057,111.053784,0,NA,"1","LM-07-095","early",2007,10,3,"M","J",469.94,188,NA,46,9.79,24.47,NA,2
"333",192,51.58,84.3,-1.125324513,3.81,10.5323702,114.755812,0,NA,"1","LM-07-109","early",2007,10,3,"F","J",465.18,179,NA,41,8.81,22.91,NA,2
"334",206,54.64,86.61,1.719749512,3.76,11.8711997,134.3429056,0,NA,"1","LM-07-009","early",2007,10,2,"M","J",525.76,173,NA,41,7.8,23.7,NA,2
"335",210,51.51,88.98,1.449844252,3.6,7.0399057,139.8622928,0,NA,"1","LM-07-103","early",2007,10,3,"M","A",545.77,175,NA,38,6.96,21.71,NA,2
"336",195,54.13,87.92,0.820984844,4.47,7.2028668,123.169512,0,NA,"3","LM-07-108","early",2007,10,3,"M","J",497.32,186,NA,43,8.65,23.12,NA,2
"337",203,54.89,87.84,1.797560598,4.04,6.2044292,123.7079888,0,NA,"2","LM-07-106","early",2007,10,3,"M","J",567.71,187,NA,44,7.75,23.53,NA,2
"338",186,50,84.01,-2.294603956,3.8,8.5313608,112.063428,0,NA,"2","LM-07-121","early",2007,10,3,"F","J",469,172,NA,38.5,8.21,22.38,NA,2
"339",199,53.52,87.21,0.812561658,NA,11.5535459,123.6406792,0,NA,"1","LM-07-145","early",2007,10,4,"M","J",512,178,NA,40,7.81,22.47,NA,2
"342",195,53.17,89.32,0.768874479,3.01,10.3694091,115.765456,0,NA,"1","LM-07-071","early",2007,10,3,"M","J",469,173,NA,40,8.53,23.12,NA,2
"343",195,50.94,82.34,-1.496480579,3.93,9.542201,118.3232208,0,NA,"2","LM-07-073","early",2007,10,3,"F","J",472.71,183,NA,41.5,8.78,22.68,NA,2
"345",198,53.7,87.59,0.867002027,3.78,9.5339326,127.9484936,0,NA,"1","LM-07-125","early",2007,10,4,"M","A",522,173,NA,38.5,7.38,22.25,NA,2
"346",201,53.22,85.84,0.59743906,3.99,10.3776775,118.121292,0,NA,"1","LM-07-069","early",2007,10,3,"M","J",491,172,NA,40.5,8.25,23.55,NA,2
"349",193,50.64,84.24,-1.386227574,3.43,10.5365044,114.9577408,0,NA,"1","LM-07-024","early",2007,10,1,"F","J",489.34,183,NA,45,9.2,24.59,NA,3
"350",192,52.26,84.36,-0.868018375,3.73,7.2007997,111.2557128,0,NA,NA,"LM-07-043","early",2007,10,1,"F","J",449.34,182,NA,41,9.12,22.53,NA,2
"351",205,53.92,87.51,1.559254565,3.86,16.2218788,122.3617968,0,NA,"1","LM-07-085","early",2007,10,3,"M","J",517,194,NA,47,9.09,24.23,NA,2
"352",194,49.8,81.87,-2.095240391,3.48,12.5561177,114.082716,0,NA,"2","LM-07-040","early",2007,10,2,"F","J",471,186,NA,45,9.55,24.19,NA,2
"353",188,50.36,83.56,-2.079390798,3.84,10.8789634,119.0636264,0,NA,"3","LM-07-099","early",2007,10,3,"F","J",471,181,NA,41.5,8.81,22.93,NA,2
"354",205,54.61,87.03,1.706993524,NA,13.0387997,128.1504224,0,NA,"2","LM-07-146","early",2007,10,4,"M","A",510.16,158,NA,33.5,6.57,21.2,NA,3
"355",203,53.58,87.07,1.16472478,3.6,7.8671138,113.6788584,0,NA,"1","LM-07-061","early",2007,10,2,"M","J",506.14,191,NA,44.5,8.79,23.3,NA,2
"356",202,55,85.25,1.204393961,4.01,10.2105822,121.4194624,0,NA,"1","LM-07-062","early",2007,10,2,"M","A",525,190,NA,44,8.38,23.16,NA,2
"358",192,51.42,83.2,-1.413432243,3.64,7.871248,110.9191648,0,NA,"1","LM-07-110","early",2007,10,3,"M","J",445.38,167,NA,38.5,8.64,23.05,NA,3
"359",193,52.94,86.27,-0.133036161,3.8,10.7035997,117.2462672,0,NA,"2","LM-07-056","early",2007,10,3,"F","J",486.38,183,NA,42,8.64,22.95,NA,3
"360",192,52.26,81.01,-1.57006783,2.73,9.3792399,101.4958208,0,NA,"1","LM-07-002","early",2007,10,1,"F","J",419,163,NA,37,8.83,22.7,NA,3
"361",200,54.65,86.87,1.237973197,3.52,5.6948749,110.5826168,0,NA,"3","LM-07-052","early",2007,10,2,"M","J",487.61,186,NA,44,9.02,23.66,NA,3
"362",202,54.63,87.16,1.471503869,4.06,5.8681715,123.50606,0,NA,"1","LM-07-045","early",2007,10,1,"M","J",528.83,176,NA,38,7.19,21.59,NA,3
"363",191,51.3,83.76,-1.429239866,3.52,9.8743245,111.4576416,0,NA,"1","LM-07-005","early",2007,10,1,"F","J",452.14,170,NA,40,8.85,23.53,NA,3
"364",192,52.81,86.36,-0.250939277,3.72,1.0028163,116.3140632,0,NA,"1","LM-11-191","early",2011,10,2,"F","A",467,189,91.5,43,9.21,22.75,19.59314775,3
"365",202,53.39,88.59,1.324908466,3.54,6.6995138,118.45784,0,NA,"1","LM-07-021","early",2007,10,2,"M","J",513.21,193,NA,45.5,8.87,23.58,NA,3
"366",191,52.01,84.41,-1.037492191,3.66,11.2172882,120.6790568,0,NA,"1","LM-07-003","early",2007,10,1,"F","J",457.96,156,NA,34.5,7.53,22.12,NA,3
"367",195,52.21,80.15,-1.498359091,3.66,3.3699411,122.6082312,0,NA,"2","LM-11-171","early",2011,10,2,"F","A",479.94,175.5,86.5,39,8.13,22.22,18.02308622,3
"368",190,51.89,84.98,-1.051204144,3.88,1.4043964,121.7779924,0,NA,"1","LM-11-175","early",2011,10,2,"F","A",482.55,169.8,80,39.5,8.19,23.26,16.57859289,3
"369",203,54.85,89,2.026262313,3.94,4.14619031,129.8395484,0,NA,"1","LM-11-148","early",2011,10,2,"M","A",501.12,174.5,88.3,37.5,7.48,21.49,17.62053001,3
"370",201,53.32,89.84,1.471697082,3.91,2.99447925,116.3049536,0,NA,"1","LM-11-138","early",2011,10,5,"M","J",510.49,210,94.5,52,10.19,24.76,18.51162608,3
"371",200,53.95,89.22,1.478525528,3.68,4.54847518,125.3610772,0,NA,"1","LM-11-137","early",2011,10,5,"M","J",529.95,207,97.5,49,9.25,23.67,18.39796207,3
"372",203,54.26,88.3,1.66722431,3.69,5.50722881,134.8193652,0,NA,"1","LM-11-135","early",2011,10,5,"M","A",552.18,181.5,92,39,7.06,21.49,16.66123366,3
"373",197,53.52,86.77,0.540397932,4.31,3.06713743,126.0315228,0,NA,"1","LM-11-142","early",2011,10,2,"M","J",485,186,92,41,8.45,22.04,18.96907216,3
"374",194,52.94,82.82,-0.766065193,3.63,3.24086229,126.7017712,0,NA,"2","LM-11-084","early",2011,10,1,"F","J",484,186.1,92.6,41,8.47,22.03,19.1322314,3
"375",190,52.4,82.21,-1.448155649,3.78,5.17592867,109.5741932,0,NA,"1","LM-11-169","early",2011,10,2,"F","A",454.87,176,88,38,8.35,21.59,19.34618682,3
"376",200,54.71,88.64,1.6305008,3.76,4.53850651,122.6298028,0,NA,"1","LM-11-131","early",2011,10,4,"M","A",505.07,180,91,39,7.72,21.67,18.01730453,3
"377",182,51.82,82.34,-2.349471023,3.85,3.87947356,110.6521276,0,NA,"1","LM-11-132","early",2011,10,4,"F","A",442,198,96,45,10.18,22.73,21.71945701,3
"378",189,51.8,84.07,-1.364278254,4.47,4.45658443,126.5849624,0,NA,"2","LM-11-120","early",2011,10,2,"F","A",505.27,176,85.5,40,7.92,22.73,16.92164585,3
"379",202,53.91,87.3,1.241715124,3.5,4.12656137,128.838632,0,NA,"2","LM-11-133","early",2011,10,4,"M","A",529,190.5,97,40,7.56,21,18.33648393,3
"380",190,50.43,82.07,-2.186498372,3.44,6.14702919,103.3942704,0,NA,"1","LM-11-086","early",2011,10,1,"F","J",422.28,193.5,90,46,10.89,23.77,21.31287298,3
"381",191,52.77,83.28,-1.000778771,3.75,6.87436025,113.8669228,0,NA,"2","LM-11-101","early",2011,10,4,"F","A",478.84,195,95,44,9.19,22.56,19.8396124,6
"382",204,55.22,88.55,2.15509735,3.59,5.78162398,139.7344288,0,NA,"1","LM-11-104","early",2011,10,5,"M","A",552.58,173.5,90,34,6.15,19.6,16.28723443,3
"383",193,51.61,82.65,-1.370335938,3.96,9.23191275,127.1451068,0,NA,"2","LM-11-126","early",2011,10,3,"F","A",500.78,173,91,35.5,7.09,20.52,18.17165222,3
"384",207,54,87.88,1.845540615,4.29,3.54366596,126.7312692,1,1,"2","LM-11-145","early",2011,10,2,"M","A",530.03,177.4,91.6,36.8,6.94,20.74,17.28204064,3
"385",194,51.76,81.97,-1.36887935,4.14,9.3234951,122.95771,0,NA,"2","LM-11-143","early",2011,10,1,"F","J",477.55,183.8,89.5,41,8.59,22.31,18.74149304,3
"386",191,53.24,84.54,-0.567571267,4.11,4.22762805,115.0005008,0,NA,"2","LM-11-116","early",2011,10,2,"M","J",480.25,189.5,95,41,8.54,21.64,19.78136387,3
"387",201,54.6,86.85,1.305763971,3.87,4.13771915,126.3125016,0,NA,"1","LM-11-147","early",2011,10,2,"M","A",513.47,188,92,42.5,8.28,22.61,17.91730773,6
"388",194,52.08,84.47,-0.729793791,3.97,5.31356661,116.7773928,0,NA,"1","LM-11-190","early",2011,10,2,"F","A",484.18,194.5,94,44.5,9.19,22.88,19.41426742,3
"389",202,53.77,90.45,1.851465154,4.3,2.34510657,124.2267104,0,NA,"2","LM-11-163","early",2011,10,2,"M","J",518.25,189.3,98,39.9,7.7,21.08,18.90979257,3
"390",191,50.68,78.88,-2.67506494,3.45,3.66198336,100.9192096,1,2,"1","LM-11-014","early",2011,10,2,"F","J",389.12,175,86,39,10.02,22.29,22.10115132,3
