"","Fruits_mean","Infructescence_mean","Leaves_mean"
"259",39.0306824272568,15.4438302794595,14.9665129212973
"261",39.0306824272568,15.4438302794595,14.9665129212973
"262",39.0306824272568,15.4438302794595,14.9665129212973
"263",39.0306824272568,15.4438302794595,14.9665129212973
"264",39.0306824272568,15.4438302794595,14.9665129212973
"265",39.0306824272568,15.4438302794595,14.9665129212973
"266",39.0306824272568,15.4438302794595,14.9665129212973
"267",39.0306824272568,15.4438302794595,14.9665129212973
"268",39.0306824272568,15.4438302794595,14.9665129212973
"269",42.6552988507317,3.93715404943902,17.3206915975122
"270",42.6552988507317,3.93715404943902,17.3206915975122
"272",39.0306824272568,15.4438302794595,14.9665129212973
"273",39.0306824272568,15.4438302794595,14.9665129212973
"274",39.0306824272568,15.4438302794595,14.9665129212973
"275",39.0306824272568,15.4438302794595,14.9665129212973
"276",39.0306824272568,15.4438302794595,14.9665129212973
"277",39.0306824272568,15.4438302794595,14.9665129212973
"278",39.0306824272568,15.4438302794595,14.9665129212973
"279",39.0306824272568,15.4438302794595,14.9665129212973
"280",39.0306824272568,15.4438302794595,14.9665129212973
"281",42.6552988507317,3.93715404943902,17.3206915975122
"282",42.6552988507317,3.93715404943902,17.3206915975122
"283",42.6552988507317,3.93715404943902,17.3206915975122
"284",42.6552988507317,3.93715404943902,17.3206915975122
"286",39.0306824272568,15.4438302794595,14.9665129212973
"289",42.6552988507317,3.93715404943902,17.3206915975122
"291",42.6552988507317,3.93715404943902,17.3206915975122
"292",42.6552988507317,3.93715404943902,17.3206915975122
"293",42.6552988507317,3.93715404943902,17.3206915975122
"294",42.6552988507317,3.93715404943902,17.3206915975122
"295",42.6552988507317,3.93715404943902,17.3206915975122
"297",42.6552988507317,3.93715404943902,17.3206915975122
"298",42.6552988507317,3.93715404943902,17.3206915975122
"299",42.6552988507317,3.93715404943902,17.3206915975122
"300",42.6552988507317,3.93715404943902,17.3206915975122
"303",42.6552988507317,3.93715404943902,17.3206915975122
"304",42.6552988507317,3.93715404943902,17.3206915975122
"305",42.6552988507317,3.93715404943902,17.3206915975122
"306",42.6552988507317,3.93715404943902,17.3206915975122
"307",42.6552988507317,3.93715404943902,17.3206915975122
"310",42.6552988507317,3.93715404943902,17.3206915975122
"311",42.6552988507317,3.93715404943902,17.3206915975122
"312",42.6552988507317,3.93715404943902,17.3206915975122
"313",42.6552988507317,3.93715404943902,17.3206915975122
"314",42.6552988507317,3.93715404943902,17.3206915975122
"315",42.6552988507317,3.93715404943902,17.3206915975122
"319",42.6552988507317,3.93715404943902,17.3206915975122
"320",42.6552988507317,3.93715404943902,17.3206915975122
"322",42.6552988507317,3.93715404943902,17.3206915975122
"325",42.6552988507317,3.93715404943902,17.3206915975122
"326",42.6552988507317,3.93715404943902,17.3206915975122
"327",42.6552988507317,3.93715404943902,17.3206915975122
"328",42.6552988507317,3.93715404943902,17.3206915975122
"329",42.6552988507317,3.93715404943902,17.3206915975122
"331",42.6552988507317,3.93715404943902,17.3206915975122
"332",42.6552988507317,3.93715404943902,17.3206915975122
"333",42.6552988507317,3.93715404943902,17.3206915975122
"334",42.6552988507317,3.93715404943902,17.3206915975122
"335",42.6552988507317,3.93715404943902,17.3206915975122
"336",42.6552988507317,3.93715404943902,17.3206915975122
"337",42.6552988507317,3.93715404943902,17.3206915975122
"338",42.6552988507317,3.93715404943902,17.3206915975122
"339",42.6552988507317,3.93715404943902,17.3206915975122
"342",42.6552988507317,3.93715404943902,17.3206915975122
"343",42.6552988507317,3.93715404943902,17.3206915975122
"345",42.6552988507317,3.93715404943902,17.3206915975122
"346",42.6552988507317,3.93715404943902,17.3206915975122
"349",42.6552988507317,3.93715404943902,17.3206915975122
"350",42.6552988507317,3.93715404943902,17.3206915975122
"351",42.6552988507317,3.93715404943902,17.3206915975122
"352",42.6552988507317,3.93715404943902,17.3206915975122
"353",42.6552988507317,3.93715404943902,17.3206915975122
"354",42.6552988507317,3.93715404943902,17.3206915975122
"355",42.6552988507317,3.93715404943902,17.3206915975122
"356",42.6552988507317,3.93715404943902,17.3206915975122
"358",42.6552988507317,3.93715404943902,17.3206915975122
"359",42.6552988507317,3.93715404943902,17.3206915975122
"360",42.6552988507317,3.93715404943902,17.3206915975122
"361",42.6552988507317,3.93715404943902,17.3206915975122
"362",42.6552988507317,3.93715404943902,17.3206915975122
"363",42.6552988507317,3.93715404943902,17.3206915975122
"364",37.888469393029,9.29444397344928,16.9572030646812
"365",42.6552988507317,3.93715404943902,17.3206915975122
"366",42.6552988507317,3.93715404943902,17.3206915975122
"367",37.888469393029,9.29444397344928,16.9572030646812
"368",37.888469393029,9.29444397344928,16.9572030646812
"369",37.888469393029,9.29444397344928,16.9572030646812
"370",37.888469393029,9.29444397344928,16.9572030646812
"371",37.888469393029,9.29444397344928,16.9572030646812
"372",37.888469393029,9.29444397344928,16.9572030646812
"373",37.888469393029,9.29444397344928,16.9572030646812
"374",37.888469393029,9.29444397344928,16.9572030646812
"375",37.888469393029,9.29444397344928,16.9572030646812
"376",37.888469393029,9.29444397344928,16.9572030646812
"377",37.888469393029,9.29444397344928,16.9572030646812
"378",37.888469393029,9.29444397344928,16.9572030646812
"379",37.888469393029,9.29444397344928,16.9572030646812
"380",37.888469393029,9.29444397344928,16.9572030646812
"381",37.888469393029,9.29444397344928,16.9572030646812
"382",37.888469393029,9.29444397344928,16.9572030646812
"383",37.888469393029,9.29444397344928,16.9572030646812
"384",37.888469393029,9.29444397344928,16.9572030646812
"385",37.888469393029,9.29444397344928,16.9572030646812
"386",37.888469393029,9.29444397344928,16.9572030646812
"387",37.888469393029,9.29444397344928,16.9572030646812
"388",37.888469393029,9.29444397344928,16.9572030646812
"389",37.888469393029,9.29444397344928,16.9572030646812
"390",37.888469393029,9.29444397344928,16.9572030646812
"391",37.888469393029,9.29444397344928,16.9572030646812
"392",37.888469393029,9.29444397344928,16.9572030646812
"393",37.888469393029,9.29444397344928,16.9572030646812
"394",37.888469393029,9.29444397344928,16.9572030646812
"395",37.888469393029,9.29444397344928,16.9572030646812
"396",37.888469393029,9.29444397344928,16.9572030646812
"397",37.888469393029,9.29444397344928,16.9572030646812
"398",37.888469393029,9.29444397344928,16.9572030646812
"399",37.888469393029,9.29444397344928,16.9572030646812
"401",37.888469393029,9.29444397344928,16.9572030646812
"402",37.888469393029,9.29444397344928,16.9572030646812
"403",37.888469393029,9.29444397344928,16.9572030646812
"404",37.888469393029,9.29444397344928,16.9572030646812
"405",37.888469393029,9.29444397344928,16.9572030646812
"406",37.888469393029,9.29444397344928,16.9572030646812
"408",37.888469393029,9.29444397344928,16.9572030646812
"409",37.888469393029,9.29444397344928,16.9572030646812
"410",37.888469393029,9.29444397344928,16.9572030646812
"411",37.888469393029,9.29444397344928,16.9572030646812
"412",37.888469393029,9.29444397344928,16.9572030646812
"413",37.888469393029,9.29444397344928,16.9572030646812
"414",37.888469393029,9.29444397344928,16.9572030646812
"415",37.888469393029,9.29444397344928,16.9572030646812
"416",37.888469393029,9.29444397344928,16.9572030646812
"417",37.888469393029,9.29444397344928,16.9572030646812
"418",37.888469393029,9.29444397344928,16.9572030646812
"419",37.888469393029,9.29444397344928,16.9572030646812
"420",37.888469393029,9.29444397344928,16.9572030646812
"421",37.888469393029,9.29444397344928,16.9572030646812
"422",37.888469393029,9.29444397344928,16.9572030646812
"423",37.888469393029,9.29444397344928,16.9572030646812
"424",37.888469393029,9.29444397344928,16.9572030646812
"425",37.888469393029,9.29444397344928,16.9572030646812
"426",37.888469393029,9.29444397344928,16.9572030646812
"427",37.888469393029,9.29444397344928,16.9572030646812
"428",22.8124434689688,8.8131111614375,27.9031606958594
"430",37.888469393029,9.29444397344928,16.9572030646812
"431",37.888469393029,9.29444397344928,16.9572030646812
"432",37.888469393029,9.29444397344928,16.9572030646812
"433",37.888469393029,9.29444397344928,16.9572030646812
"434",37.888469393029,9.29444397344928,16.9572030646812
"435",37.888469393029,9.29444397344928,16.9572030646812
"436",37.888469393029,9.29444397344928,16.9572030646812
"437",37.888469393029,9.29444397344928,16.9572030646812
"438",37.888469393029,9.29444397344928,16.9572030646812
"439",37.888469393029,9.29444397344928,16.9572030646812
"440",37.888469393029,9.29444397344928,16.9572030646812
"441",22.8124434689688,8.8131111614375,27.9031606958594
"442",37.888469393029,9.29444397344928,16.9572030646812
"443",37.888469393029,9.29444397344928,16.9572030646812
"444",37.888469393029,9.29444397344928,16.9572030646812
"445",22.8124434689688,8.8131111614375,27.9031606958594
"446",22.8124434689688,8.8131111614375,27.9031606958594
"447",22.8124434689688,8.8131111614375,27.9031606958594
"448",22.8124434689688,8.8131111614375,27.9031606958594
"449",22.8124434689688,8.8131111614375,27.9031606958594
"450",37.888469393029,9.29444397344928,16.9572030646812
"451",37.888469393029,9.29444397344928,16.9572030646812
"452",37.888469393029,9.29444397344928,16.9572030646812
"453",22.8124434689688,8.8131111614375,27.9031606958594
"454",37.888469393029,9.29444397344928,16.9572030646812
"455",37.888469393029,9.29444397344928,16.9572030646812
"456",22.8124434689688,8.8131111614375,27.9031606958594
"457",37.888469393029,9.29444397344928,16.9572030646812
"458",22.8124434689688,8.8131111614375,27.9031606958594
"459",22.8124434689688,8.8131111614375,27.9031606958594
"460",22.8124434689688,8.8131111614375,27.9031606958594
"461",22.8124434689688,8.8131111614375,27.9031606958594
"462",22.8124434689688,8.8131111614375,27.9031606958594
"463",22.8124434689688,8.8131111614375,27.9031606958594
"464",22.8124434689688,8.8131111614375,27.9031606958594
"465",22.8124434689688,8.8131111614375,27.9031606958594
"466",22.8124434689688,8.8131111614375,27.9031606958594
"468",22.8124434689688,8.8131111614375,27.9031606958594
"469",22.8124434689688,8.8131111614375,27.9031606958594
"470",22.8124434689688,8.8131111614375,27.9031606958594
"471",22.8124434689688,8.8131111614375,27.9031606958594
"472",22.8124434689688,8.8131111614375,27.9031606958594
"473",22.8124434689688,8.8131111614375,27.9031606958594
"474",22.8124434689688,8.8131111614375,27.9031606958594
"475",22.8124434689688,8.8131111614375,27.9031606958594
"476",22.8124434689688,8.8131111614375,27.9031606958594
"477",22.8124434689688,8.8131111614375,27.9031606958594
"478",22.8124434689688,8.8131111614375,27.9031606958594
"479",22.8124434689688,8.8131111614375,27.9031606958594
"480",22.8124434689688,8.8131111614375,27.9031606958594
"481",22.8124434689688,8.8131111614375,27.9031606958594
"482",22.8124434689688,8.8131111614375,27.9031606958594
"483",22.8124434689688,8.8131111614375,27.9031606958594
"484",22.8124434689688,8.8131111614375,27.9031606958594
"485",22.8124434689688,8.8131111614375,27.9031606958594
"486",22.8124434689688,8.8131111614375,27.9031606958594
"487",22.8124434689688,8.8131111614375,27.9031606958594
"488",22.8124434689688,8.8131111614375,27.9031606958594
"489",22.8124434689688,8.8131111614375,27.9031606958594
"490",22.8124434689688,8.8131111614375,27.9031606958594
"491",22.8124434689688,8.8131111614375,27.9031606958594
"492",22.8124434689688,8.8131111614375,27.9031606958594
"494",22.8124434689688,8.8131111614375,27.9031606958594
"495",22.8124434689688,8.8131111614375,27.9031606958594
"496",22.8124434689688,8.8131111614375,27.9031606958594
"497",22.8124434689688,8.8131111614375,27.9031606958594
"498",35.1461308208261,17.9062465833768,25.4135242113188
"499",22.8124434689688,8.8131111614375,27.9031606958594
